Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	gsu00920:Sulfur metabolism	9	2.1634615384615383	6.854119071625309E-8	APR, CYSK, CYSW, CYSU, CYSD, CYSE-1, CYSA, CYSP, CYSN	83	10	979	10.61566265060241	3.97538129637276E-6	3.97538129637276E-6	6.81939783864216E-5
INTERPRO	IPR013656:PAS fold-4	11	2.644230769230769	5.760177926918779E-4	GSU3152, GSU0537, GSU1656, GSU1414, GSU0681, GSU2506, GSU0103, GSU2044, GSU1039, GSU1038, GSU2789	346	27	2944	3.4664953971312347	0.3003911794301709	0.3003911794301709	0.8511550157008441
INTERPRO	IPR013783:Immunoglobulin-like fold	8	1.9230769230769231	7.953794161695791E-4	GSU1924, GSU1844, GSU1945, TREZ, GSU2373, GSU1334, GSU1948, OMPB	346	15	2944	4.537957610789981	0.38941114835830015	0.2185981497067595	1.1735154611200227
INTERPRO	IPR008978:HSP20-like chaperone	5	1.201923076923077	0.0022935951280899885	GSU2408, GSU2409, GSU3192, HSPA-2, HSPA-1	346	6	2944	7.090558766859345	0.7591695828960225	0.37783757416469643	3.349203234888709
INTERPRO	IPR002068:Alpha crystallin/Hsp20 domain	5	1.201923076923077	0.0022935951280899885	GSU2408, GSU2409, GSU3192, HSPA-2, HSPA-1	346	6	2944	7.090558766859345	0.7591695828960225	0.37783757416469643	3.349203234888709
GOTERM_CC_DIRECT	GO:0005622~intracellular	36	8.653846153846153	0.0033957140618330675	GSU3152, GSU1119, GSU0537, GSU1656, GSU0718, KDPD, KDPE, GSU3138, GSU0776, GSU1039, GSU1038, GSU2789, GSU1249, GSU1414, CHEY40H-3, CHEY64H-2, GSU3252, GSU1658, GSU1117, GSU3330, GSU0700, GSU0681, GSU0452, GSU2755, GSU0372, GSU2044, GSU2041, GSU3437, GSU1090, GSU1316, GSU0104, GSU2507, GSU2506, GSU0103, GSU1293, CYSN	168	216	1594	1.581349206349206	0.07525229445229942	0.07525229445229942	2.6601252266986286
GOTERM_BP_DIRECT	GO:0050821~protein stabilization	5	1.201923076923077	0.003598893787732159	GSU2408, GSU2409, GSU3192, HSPA-2, HSPA-1	226	7	2078	6.56763590391909	0.4301830557490943	0.4301830557490943	4.242024293486857
UP_KEYWORDS	Signal	62	14.903846153846153	0.003741607622658779	GSU0673, GSU1924, GSU3151, GSU2780, GSU3409, GSU1247, PILY1-2, GSPC, PPCD, GSU1209, GSU3547, GSU1762, GSU2493, GSU1212, GSU2319, GSU2494, GSU1252, GSU1251, GSU2501, PILL, GSU2496, GSU2499, GSU0891, GSU2726, GSU3410, GSU1395, GSU2724, OMCT, GSU1528, OMCS, GSU3202, GSU2505, GSU2536, GSU1397, GSU1398, GSU1155, LPTA, GSU1844, GSU3137, GSU2935, OMPB, GSU3332, GSU1018, GSU2447, GSU1945, GSU1561, GSU2404, GSU1947, GSU1948, GSU1661, GSU0181, GSU1333, GSU1330, GSU1331, SCO, GSU1337, GSU1995, GSU0317, GSU1817, GSU1478, GSU1648, CYSP	414	367	3430	1.399649857178586	0.34038395879899863	0.34038395879899863	4.153629173801365
GOTERM_BP_DIRECT	GO:0009408~response to heat	6	1.4423076923076923	0.0038040516616002712	GSU2408, GSU2409, CLPB, GSU3192, HSPA-2, HSPA-1	226	11	2078	5.015285599356396	0.4481967089382799	0.2571653676209489	4.478799463913219
GOTERM_MF_DIRECT	GO:0015419~sulfate transmembrane-transporting ATPase activity	4	0.9615384615384616	0.005020244626145842	CYSW, CYSU, CYSA, CYSP	261	4	2334	8.942528735632182	0.6728384594407995	0.6728384594407995	6.214405372470344
