Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006935~chemotaxis	8	18.6046511627907	2.7391055037614497E-5	MCP40H-6, CHEW64H-2, MCP40H-5, MCP40H-18, CHER34H, MCP40H-23, MCP40H-11, MVHV	28	74	2078	8.023166023166022	8.487739230207403E-4	8.487739230207403E-4	0.02352879891112103
INTERPRO	IPR004089:Methyl-accepting chemotaxis protein (MCP) signalling domain	6	13.953488372093023	5.7895028795485975E-5	MCP40H-6, MCP40H-5, MCP40H-18, MCP40H-23, MCP40H-11, MVHV	39	34	2944	13.321266968325794	0.005369923679505839	0.005369923679505839	0.0633622431665426
KEGG_PATHWAY	gsu02020:Two-component system	6	13.953488372093023	1.1927699368175202E-4	MCP40H-6, CHEW64H-2, MCP40H-5, CHER34H, MCP40H-11, PSTS	8	92	979	7.9809782608695645	4.7702261950732794E-4	4.7702261950732794E-4	0.0455331495041289
SMART	SM00283:MA	6	13.953488372093023	1.2777403358523484E-4	MCP40H-6, MCP40H-5, MCP40H-18, MCP40H-23, MCP40H-11, MVHV	15	33	809	9.806060606060607	0.0017873515447209831	0.0017873515447209831	0.08676359710799719
GOTERM_MF_DIRECT	GO:0004872~receptor activity	6	13.953488372093023	1.4862367449502552E-4	MCP40H-6, MCP40H-5, MCP40H-18, MCP40H-23, MCP40H-11, MVHV	34	38	2334	10.839009287925697	0.005779985321578085	0.005779985321578085	0.1350762898221447
INTERPRO	IPR003660:HAMP linker domain	7	16.27906976744186	1.5857294658056867E-4	MCP40H-6, MCP40H-5, MCP40H-18, MCP40H-23, GSU0822, MCP40H-11, MVHV	39	66	2944	8.006216006216007	0.014640227684008855	0.0073471038091960095	0.173460629431188
SMART	SM00304:HAMP	7	16.27906976744186	3.232816050092766E-4	MCP40H-6, MCP40H-5, MCP40H-18, MCP40H-23, GSU0822, MCP40H-11, MVHV	15	63	809	5.992592592592593	0.0045164442568346175	0.002260777686290738	0.21939666549837256
KEGG_PATHWAY	gsu02030:Bacterial chemotaxis	5	11.627906976744185	3.4078155467938973E-4	MCP40H-6, CHEW64H-2, MCP40H-5, CHER34H, MCP40H-11	8	58	979	10.549568965517242	0.0013624295845988676	6.814469772908893E-4	0.13005035256973274
GOTERM_MF_DIRECT	GO:0004871~signal transducer activity	7	16.27906976744186	5.76880655603561E-4	MCP40H-6, CHEW64H-2, MCP40H-5, MCP40H-18, MCP40H-23, MCP40H-11, MVHV	34	77	2334	6.240641711229946	0.022253492662474006	0.0111893470752219	0.523389006711461
INTERPRO	IPR004090:Chemotaxis methyl-accepting receptor	4	9.30232558139535	0.0019445040420143533	MCP40H-6, MCP40H-23, MCP40H-11, MVHV	39	20	2944	15.097435897435897	0.16557709526404019	0.05855401935741522	2.1082735955104015
UP_KEYWORDS	Transport	7	16.27906976744186	0.005231106269624742	NIKO, GSU1016, CORA-1, GSU3228, FEOB-2, GSU2950, GSU3271	43	134	3430	4.166955918083999	0.19348944395312884	0.19348944395312884	4.71202795371145
UP_KEYWORDS	Membrane	17	39.53488372093023	0.00898629436981139	CORA-1, FLHA, MCP40H-23, MCP40H-11, FEOB-2, GSU2948, GSU1429, GSU2653, GSU1016, NIKO, MCP40H-6, MCP40H-5, MCP40H-18, GSU0822, YCCM-2, GSU2950, GSU3271	43	728	3430	1.862701252236136	0.30933715702140796	0.1689387248953348	7.971500707515444
UP_KEYWORDS	Transmembrane	16	37.2093023255814	0.012183294150410886	CORA-1, FLHA, MCP40H-23, MCP40H-11, FEOB-2, GSU2948, GSU1429, GSU2653, GSU1016, MCP40H-6, MCP40H-5, MCP40H-18, GSU0822, YCCM-2, GSU2950, GSU3271	43	684	3430	1.8659050727594177	0.395033910211687	0.1542467462510857	10.66775232285304
GOTERM_CC_DIRECT	GO:0016021~integral component of membrane	15	34.883720930232556	0.023138909242507576	FLHA, MCP40H-23, MCP40H-11, FEOB-2, GSU2948, GSU1429, MVHV, GSU2653, GSU1016, MCP40H-6, MCP40H-5, MCP40H-18, GSU0822, YCCM-2, GSU2950	23	645	1594	1.6117290192113245	0.1899808160781118	0.1899808160781118	12.604758310101428
UP_KEYWORDS	Transmembrane helix	15	34.883720930232556	0.026971297894753905	CORA-1, FLHA, MCP40H-23, MCP40H-11, FEOB-2, GSU2948, GSU1429, GSU2653, GSU1016, MCP40H-6, MCP40H-5, MCP40H-18, GSU0822, YCCM-2, GSU2950	43	680	3430	1.759575923392613	0.6740494659759941	0.24440700283662709	22.24576220169101
COG_ONTOLOGY	Inorganic ion transport and metabolism	4	9.30232558139535	0.030045858127374352	NIKO, FEOB-2, GSU2950, GSU2951	16	31	652	5.258064516129032	0.2629244266732199	0.2629244266732199	16.738364053969935
UP_KEYWORDS	Signal	10	23.25581395348837	0.030285607155819072	GSU3219, GSU1252, GSU1251, GSU2299, GSU2143, GSU1255, PSTS, GSU1295, GSU3271, GSU1257	43	367	3430	2.173499778214308	0.7166015268945427	0.22289536158151046	24.649274675852205
UP_KEYWORDS	Ion transport	3	6.976744186046512	0.05129835239208278	CORA-1, FEOB-2, GSU3271	43	30	3430	7.976744186046512	0.884570756975332	0.3022187298489154	38.40700229714459
SMART	SM01049:SM01049	2	4.651162790697675	0.06756720242556698	MCP40H-5, MCP40H-11	15	4	809	26.96666666666667	0.6244691890728837	0.27853512555793336	37.82514492453155
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	6	13.953488372093023	0.06877369236765529	NIKO, GSU1016, YCCM-2, FEOB-2, GSU2950, PSTS	23	165	1594	2.5201581027667985	0.4733802667727851	0.2743143013485694	33.63902548689192
GOTERM_BP_DIRECT	GO:0006824~cobalt ion transport	2	4.651162790697675	0.07555865653653322	NIKO, CORA-1	28	6	2078	24.738095238095237	0.9124491914495152	0.7041101411834383	49.0816064902862
GOTERM_MF_DIRECT	GO:0015087~cobalt ion transmembrane transporter activity	2	4.651162790697675	0.09498823821740619	NIKO, CORA-1	34	7	2334	19.613445378151262	0.9796054224115207	0.7267847699589999	59.65256942369953
