,plankMeans,plankSD,HighMeans,HighSD,LowMeans,LowSD,FBFMeans,FBFSD
omcA,6.748958943,0.27850032,5.4733864,0.50964474,6.432634471,1.049345723,5.89026828,1.007086299
omcB,11.50034077,0.111816295,12.44968476,0.074096261,11.89334689,0.649725928,12.21704111,0.455582603
omcC,11.02086352,0.190883492,10.92647316,0.670227051,11.39005609,0.606114108,11.01456202,0.651491895
omcE,8.667923934,0.372188365,10.74902358,0.328426992,10.28772095,0.846685587,9.274214704,0.420976877
omcF,3.049899198,0.110770259,3.030911155,0.252087536,3.027967224,0.131672224,3.044042908,0.250950611
omcG,7.945882554,0.181285714,6.305825156,0.429751009,6.849054867,0.56850245,6.76181644,0.722841218
omcH,6.391799314,0.297380382,5.166210153,0.482801813,6.20776804,0.971250287,5.488008308,0.589644748
omcI,6.273970585,0.194929418,6.483030069,0.137201285,6.703557552,0.220779409,6.566651791,0.063809545
omcJ,3.298865051,0.057526019,3.085156,0.793045856,4.456163797,1.128675953,3.355829076,0.425512563
omcK,3.990358393,0.286351491,5.297980146,0.015163334,5.721107964,0.254566558,4.87174268,0.125316477
omcL,4.891018486,0.217781119,5.67515969,0.216019837,6.397728225,0.380317225,5.51582891,0.140863079
omcM,4.219663985,0.197626995,6.873674293,0.042234587,6.588811989,0.681548355,5.189671271,0.235556114
omcN,8.751765037,0.64341861,9.825986219,0.148889125,9.557079218,0.502210654,8.959840015,0.303555438
omcO,7.734369295,0.750916658,8.273702791,0.30503792,8.306248802,0.302855015,7.319450121,0.096903594
omcP,6.099808298,0.551617576,6.735428037,0.443949936,6.620315768,0.147560089,5.856061304,0.173032473
omcQ,8.93832685,0.140324448,10.83782485,0.104469287,10.59273776,0.697622214,9.924945188,0.70921956
omcS,10.90056658,0.557274649,7.668334913,0.197310132,7.893941333,0.592082341,11.59017061,0.455031022
omcT,9.110469448,0.549794032,5.977039347,0.075699156,6.539056958,0.311897344,9.462846017,0.506108825
omcX,8.664242585,0.243078201,11.40798835,0.179370445,11.1030358,0.814715704,10.76222513,0.182478978
omcZ,10.61918458,0.208063116,13.3825683,0.165950478,13.12388097,0.814998307,11.55489338,0.318231265
