Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	gsu00920:Sulfur metabolism	5	26.31578947368421	6.785853620972235E-7	APR, CYSK, CYSD, CYSP, CYSN	10	10	979	48.95	9.5001531663641E-6	9.5001531663641E-6	4.609558206802866E-4
GOTERM_BP_DIRECT	GO:0006790~sulfur compound metabolic process	3	15.789473684210526	1.8232633790501957E-4	APR, CYSD, CYSN	13	4	2078	119.88461538461539	0.0032767928620273112	0.0032767928620273112	0.1343189147513968
GOTERM_MF_DIRECT	GO:0004781~sulfate adenylyltransferase (ATP) activity	2	10.526315789473683	0.00940567712387721	CYSD, CYSN	12	2	2334	194.49999999999997	0.20292344922388184	0.20292344922388184	7.300594960532447
INTERPRO	IPR002500:Phosphoadenosine phosphosulphate reductase	2	10.526315789473683	0.009489863567213364	APR, CYSD	15	2	2944	196.26666666666668	0.32358084883062577	0.32358084883062577	8.400949736044538
GOTERM_BP_DIRECT	GO:0070814~hydrogen sulfide biosynthetic process	2	10.526315789473683	0.011518983059790534	APR, CYSN	13	2	2078	159.84615384615384	0.18823559966336822	0.09902031080793405	8.185679415780534
GOTERM_MF_DIRECT	GO:0004124~cysteine synthase activity	2	10.526315789473683	0.018730861047699523	CYSK, METY-1	12	4	2334	97.24999999999999	0.3647928608289397	0.20300116739667662	14.073804206795437
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	3	15.789473684210526	0.027070424918847515	RPSQ, RPMJ, RPMG	12	56	2334	10.419642857142858	0.4824483156660798	0.19711888621955986	19.76004773635135
UP_KEYWORDS	Ribosomal protein	3	15.789473684210526	0.033887913610248815	RPSQ, RPMJ, RPMG	19	56	3430	9.671052631578945	0.5919481058311568	0.5919481058311568	24.62731798094896
UP_KEYWORDS	Ribonucleoprotein	3	15.789473684210526	0.03501202058510201	RPSQ, RPMJ, RPMG	19	57	3430	9.501385041551247	0.6041145952003777	0.3708057495497735	25.343511530016215
KEGG_PATHWAY	gsu00261:Monobactam biosynthesis	2	10.526315789473683	0.05404106881095368	CYSD, CYSN	10	6	979	32.63333333333334	0.5405778321111094	0.32219311903102477	31.434972496591453
GOTERM_BP_DIRECT	GO:0006412~translation	3	15.789473684210526	0.05937485749206132	RPSQ, RPMJ, RPMG	13	70	2078	6.85054945054945	0.6677243660424154	0.30737287048936257	36.31348256475563
KEGG_PATHWAY	gsu00450:Selenocompound metabolism	2	10.526315789473683	0.08007517281183456	CYSD, CYSN	10	9	979	21.755555555555556	0.689162964571536	0.3226014654815519	43.2751945226841
KEGG_PATHWAY	gsu01120:Microbial metabolism in diverse environments	4	21.052631578947366	0.09577581513723143	APR, CYSK, CYSD, CYSN	10	125	979	3.1328000000000005	0.7557325142889467	0.29698204735385847	49.535294848735
