,plankMeans,plankSD,HighMeans,HighSD,LowMeans,LowSD,FBFMeans,FBFSD
pilA-C,11.61888772,0.243870609,11.73787845,0.161940256,11.43244669,0.660792151,11.55424645,0.258938663
pilA-N,10.66561185,0.276554601,10.87909833,0.102162311,10.4984286,0.660366467,10.83660712,0.157425309
pilB,8.645896033,0.086051285,7.978618881,0.064216512,7.924839125,0.178449495,7.943044598,0.114628881
pilC,8.418924378,0.329347043,8.261669183,0.12210197,8.324454256,0.535220067,8.06504762,0.260987395
pilD,5.143220501,0.515928929,4.600130937,0.195881033,4.803588347,0.274401361,4.419773674,0.278669294
pilE,3.984628186,0.191098149,5.293613655,0.280201545,5.248111503,0.27044327,3.406516378,0.148762111
pilL,7.514174785,0.129170265,6.092160346,0.255179737,6.187410855,0.642319602,6.724237307,0.455396654
pilM,8.582957963,0.457980883,8.327738545,0.089274284,8.081935075,0.544612324,8.404418726,0.281511234
pilN,7.495440789,0.394263355,7.051891754,0.086759464,6.991680257,0.324611081,7.317708359,0.327570768
pilO,7.720946294,0.372706621,7.513128456,0.110747675,7.377314971,0.403731244,7.487244441,0.073793608
pilP,6.887059304,0.141425064,6.738821842,0.174872082,6.669142911,0.449207587,6.871239013,0.256420222
pilQ,10.29861584,0.398105309,10.11380078,0.11601279,9.918871327,0.556328087,10.16440096,0.242230754
pilR,7.754814174,0.301474656,7.532923335,0.050535694,7.393759351,0.450104436,7.377704491,0.105602134
pilS,7.302980408,0.135784858,6.667084157,0.102676696,6.840963041,0.227471619,6.717805197,0.103019315
pilT-1,7.307755105,0.166515426,7.27007229,0.200255119,7.24352385,0.109915173,7.311481728,0.21227553
pilT-2,5.803408424,0.092769266,5.681932007,0.139534027,5.871029518,0.2589634,5.68037328,0.254677067
pilT-3,2.85545629,0.49530876,2.926504242,0.372863773,3.952998838,0.835777655,2.802677999,0.528078563
pilT-4,7.791850023,0.020620136,7.621189527,0.148836297,7.410883385,0.41745494,7.54384423,0.228654283
pilV-1,4.894438217,0.356306493,4.45908204,0.245124246,4.527987131,0.09865736,4.538607131,0.234847032
pilV-2,7.536416016,0.137427589,6.266533465,0.345568328,6.203010121,0.31475316,7.182345499,0.551543307
pilW-1,5.852699645,0.258114311,5.547100374,0.169616452,6.085817974,0.358594558,5.386047085,0.068899144
pilW-2,9.252275071,0.124774261,7.647875071,0.217496483,7.83906096,0.446586721,8.377415661,0.648722623
pilX-1,4.000805026,0.246552624,4.227108697,0.071850624,4.44573886,0.182759164,4.026485259,0.130916711
pilX-2,8.611951887,0.071831253,7.040841168,0.306216615,7.17487036,0.377771186,7.853210207,0.542673759
pilY1-1,6.488406421,0.158348573,6.60187045,0.069252783,6.888430474,0.4490259,6.512431389,0.186478176
pilY1-2,11.74363297,0.193045916,10.3716077,0.229725804,10.49196215,0.437017948,11.00207357,0.626430804
