Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0015803~branched-chain amino acid transport	13	2.333931777378815	5.278318917558228E-7	GSU3394, GSU3401, GSU3391, LIVM, GSU3392, GSU3393, GSU2007, LIVF, LIVK-1, LIVG, LIVK-2, LIVH, GSU2006	358	16	2078	4.716131284916202	1.5675382605784272E-4	1.5675382605784272E-4	7.0425951360642E-4
GOTERM_CC_DIRECT	GO:0005739~mitochondrion	13	2.333931777378815	9.271039232740459E-7	NUOA-1, NUOF-1, NUOD, NUOI-1, NUOC, NUOB, NUON-1, NUOJ-1, NUOG-1, NUOM-1, NUOK-1, NUOE-1, NUOL-1	243	18	1594	4.737540009144947	4.9135323532567554E-5	4.9135323532567554E-5	9.045251730621651E-4
GOTERM_MF_DIRECT	GO:0015658~branched-chain amino acid transmembrane transporter activity	12	2.154398563734291	3.0267582133958417E-6	GSU3401, GSU3391, LIVM, GSU3392, GSU3393, GSU2007, LIVF, LIVG, LIVK-1, LIVH, LIVK-2, GSU2006	411	15	2334	4.543065693430656	9.86238018146235E-4	9.86238018146235E-4	0.004095817700000559
UP_KEYWORDS	Hydrogen ion transport	9	1.615798922800718	1.3337863824624188E-5	ATPB, ATPA, ATPD, ATPC, ATPF, ATPE, ATPH, ATPX, HPPA	548	10	3430	5.633211678832117	0.0021051775373663872	0.0021051775373663872	0.016069515993377692
UP_KEYWORDS	ATP synthesis	8	1.436265709156194	6.795361840679526E-5	ATPB, ATPA, ATPD, ATPC, ATPF, ATPE, ATPH, ATPX	548	9	3430	5.563665855636658	0.010679600294765668	0.005354133520259263	0.08184611581957268
GOTERM_BP_DIRECT	GO:0015986~ATP synthesis coupled proton transport	8	1.436265709156194	1.099850629501617E-4	ATPB, ATPA, ATPD, ATPC, ATPF, ATPE, ATPH, ATPX	358	9	2078	5.159528243327126	0.03213954503365246	0.016201008860881383	0.14664844565200896
GOTERM_BP_DIRECT	GO:0006120~mitochondrial electron transport, NADH to ubiquinone	14	2.5134649910233393	1.1155373339863685E-4	NUOH-1, NUOA-1, NUOF-1, NUOD, NUOI-1, NUOC, NUOB, NUON-1, NUOJ-1, NUOG-1, NUOM-1, NUOK-1, NUOE-1, NUOL-1	358	26	2078	3.125483455092394	0.032590411405393094	0.010983669776583826	0.14873859074869822
INTERPRO	IPR001851:ABC transporter, permease	7	1.2567324955116697	1.187210603839329E-4	GSU3394, LIVM, GSU3393, GSU0211, GSU2007, LIVH, GSU2006	487	7	2944	6.04517453798768	0.10645112624452568	0.10645112624452568	0.18613655148911334
GOTERM_MF_DIRECT	GO:0046933~proton-transporting ATP synthase activity, rotational mechanism	8	1.436265709156194	1.2825944285407118E-4	ATPB, ATPA, ATPD, ATPC, ATPF, ATPE, ATPH, ATPX	411	9	2334	5.047850770478508	0.04095306148824063	0.020690580811274284	0.1734249059519133
KEGG_PATHWAY	gsu00190:Oxidative phosphorylation	26	4.66786355475763	1.3825326497967787E-4	ATPB, ATPA, ATPD, ATPC, FRDC, FRDB, FRDA, NUOJ-1, NUOG-1, NUOM-1, ATPF, ATPE, ATPH, HPPA, NUOL-1, NUOH-1, NUOA-1, NUOF-1, NUOD, NUOC, NUOI-1, NUOB, NUON-1, NUOK-1, NUOE-1, ATPX	232	54	979	2.0317688378033205	0.010589766751472052	0.010589766751472052	0.14576909175890718
INTERPRO	IPR017900:4Fe-4S ferredoxin, iron-sulphur binding, conserved site	18	3.231597845601436	6.096128463117933E-4	GSU2795, FRDB, GSU1089, SFRA, HYBA, NUOG-1, POR, NUOF-1, IORA-2, NUOI-1, FRX-2, HDRA, KORD, HDRC, HDRE, HDRD, VORD, ETFA	487	46	2944	2.3655030800821355	0.4390307576952063	0.25102120036359254	0.9523419210256123
INTERPRO	IPR011766:Thiamine pyrophosphate enzyme, C-terminal TPP-binding	6	1.0771992818671454	6.244191992771983E-4	ILVB, IORA-1, IORA-2, KORB, VORB, POR	487	6	2944	6.0451745379876805	0.44685454890362986	0.1791197974848715	0.9753665423151814
