Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR011031:Multihaem cytochrome	20	7.092198581560284	3.3450878413698E-6	GSU0395, GSU0702, NRFA, GSU2887, GSU2899, GSU2937, GSU1786, OMCX, OMCZ, OMCP, GSU2643, OMCN, GSU3615, OMCM, GSU2642, GSU1538, OMCQ, GSU3228, OMCE, OMCK	236	75	2944	3.326553672316384	0.0015108397638994298	0.0015108397638994298	0.004748567635315393
UP_KEYWORDS	Signal	55	19.50354609929078	5.5830508980537565E-6	GSU0468, GSU3219, GSU0467, GSU2812, GSU2199, GSU2914, GSU2643, GSU1538, GSU2642, GSU3185, GSU0469, GSU2968, GSU3141, GSU0398, GSU1786, OMCX, GSU3305, GSU0391, GSU0392, GSU0603, OMCZ, GSU2671, OMCM, GSU3615, GSU1458, GSU3414, OMCQ, OMCE, OMCL, GSU0753, GSU1154, OMPJ, GSU2937, GSU2938, GSU2939, GSU1153, GSU2305, GSU1269, GSU1943, GSU2895, NRFA, GSU2899, GSU2518, GSU2516, CCPA, GSU1994, GSU2074, GSU2075, MCP40H-7, GSU2073, GSU2513, GSU3175, GSU2272, GSU3170, GSU3222	281	367	3430	1.8292978560415798	5.358307737879375E-4	5.358307737879375E-4	0.006148982252396351
GOTERM_MF_DIRECT	GO:0009055~electron carrier activity	27	9.574468085106384	1.137854712265652E-4	GSU2887, GSU2812, FDNG, GSU2937, FDNI, GSU2643, GSU1538, GSU0702, FDXN, GSU2899, GSU1620, GSU1786, OMCX, CCPA, GSU3123, GSU3124, OMCZ, OMCP, OMCN, OMCM, GSU0591, OMCQ, GSU2513, GSU3228, OMCE, OMCL, OMCK	176	163	2334	2.1966675962074733	0.01569264729834774	0.01569264729834774	0.13400449268683445
KEGG_PATHWAY	gsu00910:Nitrogen metabolism	6	2.127659574468085	7.366597062843335E-4	GSU1442, NIFH, NRFA, NIFD, NFNA, CAN-2	50	16	979	7.342499999999999	0.03333070621926648	0.03333070621926648	0.6941130764528292
GOTERM_CC_DIRECT	GO:0009326~formate dehydrogenase complex	4	1.4184397163120568	9.718029310001187E-4	FDNG, FDNI, FDNH, FDHD/MOBA-2	103	4	1594	15.475728155339805	0.01830364900258241	0.01830364900258241	0.7260170855302617
KEGG_PATHWAY	gsu01120:Microbial metabolism in diverse environments	15	5.319148936170213	0.001956716638341339	NRFA, FDNG, LPDA-2, FDNH, GSU1313, FOLD-1, GLCD-2, PFK-2, GSU0818, NIFH, NIFD, PGI, GLCF-2, NFNA, TKLB	50	125	979	2.3496	0.08615759099560771	0.0440489505187035	1.8342323062530141
GOTERM_CC_DIRECT	GO:0016021~integral component of membrane	56	19.858156028368796	0.003134187792242677	GSU2610, EHRA-1, MSBA, GSU1204, GSU2016, GSU1443, GSU0636, GSU2950, GSU1546, GSU2889, GSU2968, GSU1834, GSU2622, GSU0705, PILE, GSU0704, GSU3419, GSU0394, GSU2670, GSU2251, GSU1454, OMCN, GSU0590, GSU0591, EHRC, GSU2311, EHRD, GSU2295, GSU2677, TSSM, GSU2254, TSSL, GSU0599, EHRB, GSU0754, FDNI, FDNH, MCP40H-11, GSU0139, MCP40H-12, GSU3230, GSU2305, GSU0236, YIDC, GSU0830, URAA, GSU2891, GSU1994, GSU2890, GSU2947, GSU0471, GSU2943, MCP40H-8, GSU2555, MCP40H-7, GSU2135	103	645	1594	1.3436291111612855	0.05789927490019475	0.029381266871587042	2.325127485293532
INTERPRO	IPR023155:Cytochrome c-552/4	6	2.127659574468085	0.004793319914665966	OMCP, GSU0702, OMCN, GSU2899, GSU2937, GSU3228	236	15	2944	4.989830508474577	0.8860265567120631	0.6624004690644004	6.593511278122177
UP_KEYWORDS	Lipoprotein	22	7.801418439716312	0.004855077766450121	GSU0703, GSU0753, GSU0702, NRFA, GSU2887, GSU2899, OMCX, GSU1788, GSU1153, GSU0392, GSU2643, OMCN, GSU2305, TSSJ, GSU0157, GSU2642, OMCQ, GSU2513, GSU2272, OMCK, GSU2274, GSU3222	281	142	3430	1.8911332765274924	0.373259429156356	0.20833051666516544	5.219254139834328
KEGG_PATHWAY	gsu03070:Bacterial secretion system	7	2.4822695035460995	0.005297462638393486	TSSI, TSSH, TSSD, FDNT, TSSM, TSSL, YIDC	50	34	979	4.031176470588236	0.2167716740717226	0.0782153710149982	4.8964318564087
