Gene Group 1	Enrichment Score: 4.680528599640149
OFFICIAL_GENE_SYMBOL	Gene Name
2685482	50S ribosomal protein L25/general stress protein Ctc(rplY)
2688301	50S ribosomal protein L27(rpmA)
2687030	30S ribosomal protein S20(rpsT)
2686840	50S ribosomal protein L17(rplQ)
2688294	50S ribosomal protein L21(rplU)
2686834	30S ribosomal protein S4(rpsD)
2686316	30S ribosomal protein S1(rpsA)
2685562	30S ribosomal protein S6(rpsF)
2686831	30S ribosomal protein S11(rpsK)
2685560	50S ribosomal protein L9(rplI)
2686827	30S ribosomal protein S5(rpsE)
2686777	50S ribosomal protein L3(rplC)
2685555	30S ribosomal protein S18(rpsR)
2687151	50S ribosomal protein L14(rplN)
2686821	30S ribosomal protein S8(rpsH)
2687149	30S ribosomal protein S13(rpsM)
13439147	50S ribosomal protein L34(rpmH)
2686766	50S ribosomal protein L10(rplJ)
2685309	30S ribosomal protein S15(rpsO)
2688448	50S ribosomal protein L31(rpmE)
11040771	30S ribosomal protein S12(rpsL)
2685346	30S ribosomal protein S2(rpsB)
2686756	50S ribosomal protein L11(rplK)

Gene Group 2	Enrichment Score: 3.3082508512489692
OFFICIAL_GENE_SYMBOL	Gene Name
2686802	NADH dehydrogenase I subunit J(nuoJ-1)
2686723	NADH dehydrogenase I subunit E(nuoE-1)
2686811	NADH dehydrogenase I subunit G(nuoG-1)
2685556	NADH dehydrogenase I subunit I(nuoI-1)
2686798	NADH dehydrogenase I subunit B(nuoB)
2686871	NADH dehydrogenase subunit G(nuoG-2)
2686629	NADH dehydrogenase I subunit F(nuoF-1)

Gene Group 3	Enrichment Score: 2.531286067366109
OFFICIAL_GENE_SYMBOL	Gene Name
2688538	transketolase, A protein(tklA)
2685634	branched-chain 2-oxoacid dehydrogenase complex, E1 protein subunit beta(bkdB)
2687655	2-oxoglutarate ferredoxin oxidoreductase subunit beta(korB)
2687148	2-oxoglutarate:ferredoxin oxidoreductase subunit gamma(korC)
2686801	succinate dehydrogenase/fumarate reductase iron-sulfur subunit(frdB)
2685972	2-oxoglutarate:ferredoxin oxidoreductase, ferredoxin subunit(korD)
2685672	2-oxoglutarate ferredoxin oxidoreductase subunit alpha(korA)
2686730	2-oxoacid:ferredoxin oxidoreductase, ferredoxin subunit(vorD)
2685809	fumarate hydratase(fumB)
2688545	transketolase, B protein(tklB)
2686796	succinate dehydrogenase flavoprotein subunit(frdA)
2686817	succinate dehydrogenase/fumarate reductase, cytochrome b558 subunit(frdC)
2686196	isocitrate dehydrogenase(icd)
2688036	acetyl-CoA carboxylase, biotin carboxyl carrier protein(accB)

Gene Group 4	Enrichment Score: 2.4022045963232204
OFFICIAL_GENE_SYMBOL	Gene Name
